date,temperature
3/1/2020,135.1
3/27/2021,30.0
10/2/2020,90.7
12/15/2020,5.0
1/17/2020,144.0
3/13/2020,-45.4
7/4/2020,-3.5
10/21/2020,26.3
5/29/2020,107.4
2/25/2021,144.7
6/23/2020,-6.7
12/3/2020,118.7
4/26/2021,106.2
5/2/2021,75.5
10/11/2021,-1.9
12/19/2020,-26.2
9/24/2021,57.4
8/26/2020,122.6
10/18/2020,129.2
7/20/2021,-43.2
1/27/2021,8.2
12/1/2020,1.0
2/3/2021,107.0
2/11/2021,-18.9
1/5/2020,-47.3
2/23/2020,127.5
4/26/2020,10.4
12/15/2021,27.8
7/28/2020,48.6
8/23/2021,-16.9
12/23/2020,17.5
7/3/2020,1.8
10/12/2020,6.6
8/17/2021,63.7
12/27/2020,-47.7
10/15/2020,29.4
2/4/2020,56.8
9/7/2021,41.9
7/31/2021,106.1
10/1/2020,37.6
8/26/2020,5.5
10/30/2021,22.0
2/4/2020,24.2
3/4/2021,141.5
3/7/2021,37.6
9/23/2021,71.7
12/25/2020,76.3
2/20/2021,75.1
8/14/2020,-30.5
9/25/2021,112.3
12/1/2020,31.2
11/17/2020,-42.5
4/8/2020,-35.9
4/20/2021,47.4
6/10/2021,101.8
10/15/2021,-12.2
7/6/2020,43.6
3/27/2021,-41.9
12/15/2020,-22.5
2/24/2020,101.5
8/28/2021,-17.7
12/14/2020,5.6
8/17/2021,7.5
3/3/2020,110.6
5/8/2021,-40.8
3/18/2020,75.1
11/16/2020,131.4
5/8/2020,-15.9
6/9/2021,47.8
1/5/2020,-8.8
5/19/2020,26.6
7/22/2020,46.7
1/9/2020,90.5
1/7/2020,118.0
3/23/2020,124.5
5/11/2021,-41.4
5/18/2021,9.2
10/27/2021,33.9
1/29/2020,115.2
11/11/2021,148.7
5/6/2020,-20.4
12/14/2020,103.2
6/8/2020,-11.3
9/4/2021,33.1
12/6/2020,47.1
8/21/2020,96.8
5/3/2021,149.4
2/19/2020,36.5
3/14/2021,-18.6
1/16/2021,137.4
2/27/2020,74.1
6/23/2020,56.0
7/30/2020,12.9
3/28/2020,123.8
12/29/2020,45.9
6/28/2020,79.8
6/18/2021,-32.2
9/4/2021,40.8
11/25/2020,7.2
8/29/2020,143.3
5/6/2020,91.8
1/8/2021,-18.5
2/7/2021,81.2
7/25/2021,-7.1
10/14/2020,28.6
12/18/2021,103.7
10/23/2021,40.5
2/26/2020,146.5
10/18/2020,62.5
12/28/2020,60.3
10/1/2021,37.5
11/11/2021,14.5
7/18/2020,117.2
1/28/2021,57.5
10/13/2020,71.2
9/19/2021,103.1
6/26/2021,46.2
2/2/2021,118.7
11/15/2021,28.3
12/29/2021,48.7
12/13/2021,147.3
5/15/2020,109.7
6/19/2020,-48.4
7/30/2020,99.2
9/6/2021,102.5
4/29/2021,33.4
8/9/2021,88.4
9/25/2021,90.6
11/5/2021,68.7
11/11/2020,37.3
1/5/2021,27.5
8/11/2021,24.1
6/21/2020,37.2
7/2/2021,-1.5
5/10/2020,114.2
12/9/2020,82.2
8/18/2021,59.0
10/15/2021,15.3
5/13/2020,54.3
3/28/2021,125.7
12/17/2020,-12.6
8/8/2020,101.3
1/28/2021,114.3
7/26/2020,77.0
12/29/2021,-22.5
11/26/2020,-21.6
12/9/2020,72.0
1/29/2020,-22.4
5/12/2020,19.2
8/22/2020,135.7
6/15/2020,92.4
3/22/2021,81.9
6/12/2020,-28.9
11/4/2020,7.3
7/8/2020,129.2
12/2/2020,145.1
10/26/2021,-17.3
2/9/2021,55.2
3/9/2020,-28.0
5/11/2020,-39.3
11/23/2021,37.3
1/5/2021,60.7
6/4/2021,-24.0
2/21/2020,5.2
9/25/2020,116.9
5/9/2021,28.6
1/11/2021,145.7
7/17/2021,-47.9
7/1/2020,30.5
4/20/2020,130.8
10/5/2021,24.7
8/22/2021,31.9
5/1/2021,115.4
8/11/2021,148.5
11/22/2020,117.2
12/1/2020,133.4
1/29/2020,131.9
6/23/2021,37.0
5/15/2021,145.4
3/20/2021,9.2
4/14/2021,-37.0
6/30/2021,74.3
4/20/2021,120.0
1/11/2021,14.2
5/26/2021,101.6
10/16/2020,-8.0
11/19/2021,22.9
2/15/2020,85.4
2/20/2020,145.0
6/7/2021,111.4
11/25/2021,-21.6
12/27/2020,111.4
7/29/2021,-22.1
6/13/2020,-13.4
11/7/2020,-32.3
2/10/2020,80.9
8/18/2021,27.4
8/3/2021,146.2
6/3/2020,-12.7
3/24/2020,57.6
10/6/2020,74.1
7/26/2021,112.8
3/19/2020,138.0
9/9/2021,-5.7
3/9/2021,111.0
9/28/2020,-25.6
2/16/2020,-23.5
11/16/2020,83.5
10/26/2020,107.5
7/22/2020,120.2
2/29/2020,-2.7
12/12/2021,65.8
8/6/2021,100.0
12/7/2021,5.8
9/7/2020,35.3
9/15/2021,75.0
7/31/2020,-2.2
7/29/2021,81.3
2/17/2021,122.3
3/10/2021,65.6
6/27/2021,141.0
10/20/2020,67.9
8/19/2020,120.4
10/12/2021,108.4
3/27/2021,-48.4
5/1/2021,113.6
9/26/2021,53.4
2/13/2021,46.3
12/25/2020,7.4
11/4/2020,131.2
11/4/2020,130.6
4/6/2021,13.0
8/5/2020,94.1
1/1/2021,60.1
4/28/2020,93.5
3/13/2020,-14.8
1/7/2020,48.5
5/24/2021,-7.5
3/30/2021,14.5
7/30/2021,136.6
8/16/2020,74.0
10/17/2021,34.4
4/6/2021,124.7
8/6/2020,-34.1
10/14/2021,55.9
4/14/2021,-29.7
8/18/2020,149.9
11/11/2021,95.3
10/25/2020,31.3
7/24/2020,111.1
9/9/2021,48.5
3/17/2020,-40.9
6/27/2021,35.5
10/18/2020,139.4
2/21/2021,112.6
8/12/2020,-35.6
8/14/2020,52.1
8/28/2020,27.2
3/13/2021,21.9
10/24/2021,149.8
9/16/2020,-42.0
7/11/2021,-42.9
12/31/2020,79.9
11/24/2020,-41.3
7/13/2021,-14.3
5/2/2020,116.6
4/19/2020,143.9
3/17/2020,107.1
6/8/2020,-43.0
11/1/2020,-6.3
11/28/2021,74.3
4/18/2020,145.7
3/9/2021,92.1
7/23/2020,-38.0
2/10/2020,5.4
9/17/2021,-24.5
1/19/2021,130.0
10/23/2021,37.9
7/21/2020,-37.4
8/31/2020,26.4
10/15/2021,-27.3
4/19/2021,-43.5
6/27/2021,98.6
3/26/2021,88.6
11/21/2020,51.8
5/29/2020,80.7
2/24/2020,28.6
8/1/2021,-7.0
8/6/2020,110.4
1/26/2021,-13.2
4/21/2020,30.0
10/13/2021,76.3
1/9/2021,-49.6
6/1/2020,17.3
1/11/2021,59.4
3/11/2020,41.3
8/28/2021,90.8
6/29/2020,0.5
12/8/2021,-37.8
9/10/2020,110.4
12/16/2021,70.5
3/9/2021,13.8
7/31/2020,134.4
12/18/2021,75.6
12/4/2020,-34.3
7/27/2021,82.1
2/22/2020,102.8
1/20/2021,22.7
12/12/2021,36.6
2/22/2021,55.4
6/22/2021,-12.9
9/15/2021,-23.9
10/29/2021,32.2
1/11/2021,44.3
4/27/2020,34.8
5/26/2021,58.8
5/8/2021,54.3
7/12/2021,-39.8
7/7/2021,55.1
10/19/2020,-20.1
1/9/2020,-37.5
3/10/2020,149.5
10/21/2021,-49.4
2/27/2020,-42.5
7/19/2021,15.1
2/17/2020,50.3
3/23/2020,-42.1
3/27/2021,100.2
9/17/2020,33.1
5/12/2020,58.9
2/26/2021,0.3
8/14/2020,14.4
11/16/2020,-48.3
8/22/2021,36.6
6/24/2020,30.9
6/26/2021,18.2
6/23/2021,-26.8
12/3/2020,-43.8
8/14/2020,63.2
1/21/2020,19.7
2/6/2021,-24.6
10/27/2020,17.3
7/21/2020,26.2
6/14/2021,25.7
11/2/2020,53.7
4/29/2020,125.9
3/1/2020,132.7
5/7/2021,-40.0
4/10/2020,149.7
9/25/2021,-43.4
10/10/2021,123.2
4/3/2020,-32.7
7/10/2021,61.8
10/17/2021,96.0
10/28/2021,52.1
12/11/2020,53.7
6/28/2021,19.5
11/5/2021,50.5
4/18/2020,4.7
11/24/2021,31.9
9/11/2021,-25.3
6/12/2021,108.9
1/19/2020,-31.2
5/31/2020,60.4
7/21/2020,-39.4
10/18/2021,113.5
5/9/2021,30.7
3/12/2021,136.4
9/5/2021,-24.4
12/15/2021,8.8
11/3/2021,37.1
9/6/2020,32.6
5/19/2020,63.6
10/7/2020,-32.3
8/7/2021,99.0
2/14/2020,89.8
6/18/2020,114.3
7/25/2021,3.2
11/8/2020,81.2
10/5/2020,-45.5
6/17/2020,-43.2
10/9/2020,-43.3
12/29/2021,28.6
10/13/2020,87.6
10/6/2020,61.6
12/18/2021,15.1
9/12/2021,-11.0
3/22/2021,56.9
6/10/2021,110.5
2/10/2021,71.0
3/10/2021,66.3
2/16/2020,41.5
6/8/2020,32.3
2/18/2020,117.0
5/31/2020,59.5
9/30/2021,124.1
12/5/2020,2.8
5/24/2020,146.1
5/26/2021,71.9
9/27/2020,92.7
9/16/2020,44.2
7/31/2021,-14.9
5/4/2020,36.9
9/3/2020,-15.4
6/10/2021,61.9
3/1/2021,-36.5
2/17/2021,21.1
11/16/2021,31.0
11/12/2021,97.4
5/21/2020,81.9
6/5/2020,59.9
4/7/2021,35.3
4/12/2020,53.9
12/6/2020,65.5
8/10/2020,132.0
8/26/2020,35.7
7/19/2021,89.7
2/28/2021,105.0
3/9/2021,39.9
6/27/2021,-43.5
8/14/2021,142.3
2/4/2020,113.7
4/20/2020,-39.4
10/9/2020,10.8
6/3/2021,53.2
11/15/2021,9.1
10/1/2020,19.0
3/21/2021,49.9
9/6/2020,133.5
12/7/2021,16.6
2/23/2021,20.0
1/24/2020,105.5
9/16/2021,38.6
6/15/2021,53.4
8/18/2021,106.2
5/24/2021,17.4
7/5/2021,26.6
10/7/2020,-7.0
4/26/2021,45.1
4/1/2020,135.7
9/1/2020,98.8
7/26/2020,123.9
6/24/2020,-22.2
8/14/2021,100.5
7/30/2021,-40.2
8/25/2020,66.9
3/3/2021,25.6
8/1/2021,126.9
10/26/2020,53.3
3/3/2020,47.9
7/20/2021,51.4
7/5/2020,96.0
8/26/2021,-40.2
1/13/2021,121.5
11/11/2021,49.9
1/26/2020,137.2
4/1/2020,-20.6
11/17/2021,-0.2
8/28/2020,23.8
9/7/2020,30.7
9/25/2021,-0.1
12/31/2020,-34.8
9/21/2021,6.3
1/1/2021,55.3
5/8/2021,109.8
11/2/2020,101.3
9/20/2020,-26.6
5/23/2021,15.4
11/14/2021,-5.3
9/5/2021,23.7
4/20/2021,52.6
7/21/2020,111.4
9/6/2021,42.2
12/12/2020,-15.7
3/15/2020,49.5
8/9/2020,23.0
9/8/2020,127.2
10/13/2021,71.1
4/7/2021,98.2
1/20/2021,74.9
3/29/2020,122.3
11/5/2020,-39.4
10/21/2021,20.9
11/16/2020,0.6
4/3/2021,41.9
9/12/2021,-25.1
9/13/2021,-38.7
12/16/2021,113.1
11/15/2020,75.1
10/30/2021,30.2
5/11/2020,85.1
7/16/2020,61.0
7/30/2020,102.2
4/8/2021,41.1
2/26/2021,39.8
12/5/2021,40.2
9/28/2021,139.1
7/7/2020,38.7
12/29/2021,125.8
10/4/2021,131.4
5/5/2021,113.1
10/27/2021,96.7
3/18/2021,95.7
8/9/2021,135.0
7/30/2020,51.1
1/16/2020,-44.1
3/2/2021,112.9
11/22/2020,-18.2
5/28/2021,18.3
11/3/2021,-32.6
7/4/2021,110.1
8/9/2021,29.2
7/7/2021,100.0
6/20/2021,-29.5
5/1/2020,-14.2
9/9/2020,97.8
2/5/2020,66.5
10/17/2021,32.6
10/27/2021,-21.6
10/21/2020,-25.2
3/15/2020,-39.6
6/17/2020,125.9
2/19/2020,48.2
1/24/2021,149.8
7/28/2020,86.0
11/9/2020,120.9
9/22/2021,47.9
6/16/2020,80.1
7/6/2021,88.2
5/12/2020,73.7
9/7/2021,-10.7
9/20/2020,29.9
4/3/2021,-7.0
11/10/2020,56.6
8/27/2021,-48.9
5/9/2020,-1.8
2/28/2020,21.5
4/23/2021,6.0
10/24/2021,78.5
8/29/2020,80.5
4/1/2021,107.9
7/3/2020,116.0
10/20/2020,0.6
10/11/2020,19.5
3/7/2020,-22.7
11/27/2020,-48.5
6/18/2020,149.4
1/12/2021,-7.7
6/10/2021,51.5
2/22/2021,25.8
6/22/2020,-7.4
11/24/2020,130.8
4/11/2021,-20.9
9/21/2020,88.8
1/15/2020,99.1
10/27/2021,122.4
11/8/2020,135.2
6/24/2020,62.3
1/22/2021,123.1
12/5/2020,-2.4
4/28/2020,69.4
12/29/2020,-18.4
6/30/2021,35.8
1/20/2021,-1.5
6/8/2021,-45.2
10/23/2021,24.4
5/4/2020,-39.1
3/26/2020,63.7
2/11/2020,86.3
4/14/2020,-46.3
11/20/2020,116.9
10/20/2021,75.0
7/2/2020,39.6
3/29/2021,67.4
7/15/2020,125.2
10/16/2021,-37.7
8/25/2021,71.6
3/26/2021,58.5
4/19/2021,9.5
5/6/2020,-39.6
12/15/2020,118.7
3/13/2021,1.0
6/30/2020,4.4
4/3/2021,135.5
2/2/2020,35.1
5/13/2021,62.3
5/7/2020,82.4
4/20/2021,122.7
4/7/2020,65.8
8/29/2020,48.8
2/27/2021,59.6
12/19/2021,20.6
6/11/2020,40.5
9/2/2021,-46.1
5/15/2021,110.1
7/8/2020,93.4
10/8/2021,114.6
10/6/2020,17.3
2/24/2021,25.1
9/29/2020,-36.5
8/8/2020,87.5
12/21/2021,3.9
12/2/2021,-17.0
8/25/2021,64.6
10/30/2021,65.4
11/5/2020,139.8
12/29/2021,125.4
4/16/2020,29.8
12/30/2020,14.5
10/25/2020,75.7
9/7/2021,89.5
11/22/2021,-19.7
6/1/2021,145.8
3/17/2021,-33.3
3/23/2021,21.4
7/7/2021,109.0
1/29/2021,-22.4
2/15/2020,-3.6
10/6/2021,104.0
11/1/2021,72.3
6/7/2021,14.9
12/21/2020,79.8
1/30/2020,77.5
11/12/2021,63.8
1/12/2020,-24.8
2/8/2021,73.1
3/11/2021,35.2
1/10/2021,-24.2
6/16/2020,72.0
2/26/2021,138.1
5/18/2020,57.5
6/12/2020,14.3
2/24/2021,105.4
12/6/2021,96.9
11/5/2021,35.2
5/21/2020,11.4
7/18/2021,29.2
12/11/2020,23.5
12/23/2020,117.1
5/25/2021,-10.2
2/1/2020,139.7
3/18/2020,112.7
10/13/2021,-49.9
4/30/2020,0.7
5/20/2021,-44.1
5/30/2021,118.4
8/2/2021,96.1
9/27/2020,87.0
7/11/2021,143.0
11/1/2020,83.7
1/30/2021,117.3
8/17/2021,39.3
3/23/2021,53.5
8/14/2021,57.6
4/9/2021,39.0
1/6/2020,119.0
5/29/2020,15.4
9/24/2021,132.3
7/18/2020,134.8
10/19/2020,67.9
10/6/2021,140.5
8/29/2021,-21.2
7/1/2021,-27.1
4/21/2020,49.1
9/28/2020,2.7
12/18/2020,102.4
2/25/2020,83.6
7/29/2021,91.4
10/18/2020,94.1
4/24/2020,-41.7
12/28/2021,90.1
8/2/2021,2.1
2/21/2021,-39.9
6/9/2020,130.6
12/11/2021,115.1
1/6/2021,116.7
10/26/2020,-24.0
2/23/2020,27.7
11/15/2020,21.0
12/19/2021,-21.7
4/5/2021,98.6
10/17/2021,11.4
7/17/2021,-46.5
1/3/2020,122.6
7/11/2020,23.5
5/10/2020,91.7
9/4/2020,53.0
12/10/2020,23.8
7/10/2020,12.9
12/31/2020,118.4
4/28/2021,44.1
10/24/2020,31.7
6/28/2021,76.1
12/2/2020,2.6
1/14/2021,54.0
11/29/2020,149.0
6/15/2021,-44.5
8/27/2020,-42.2
4/27/2021,29.5
8/6/2020,-32.6
12/29/2021,60.3
8/15/2021,94.5
10/17/2021,27.4
1/26/2020,32.0
11/12/2021,-20.1
12/24/2021,-8.2
4/20/2021,54.5
3/4/2021,64.3
11/12/2020,66.4
4/1/2021,15.2
2/1/2021,95.2
1/4/2021,-30.0
7/13/2021,46.3
5/10/2021,12.3
10/10/2020,60.9
3/3/2021,66.8
8/29/2021,45.2
11/30/2020,-32.2
8/18/2020,23.5
1/18/2021,70.4
9/8/2020,-11.0
9/16/2020,-21.4
1/26/2021,-49.8
11/19/2021,101.9
7/22/2021,141.8
8/3/2021,115.7
1/29/2021,13.7
8/16/2020,131.3
6/1/2020,134.0
3/12/2021,-10.8
3/23/2021,-23.8
7/12/2020,23.4
9/22/2020,9.9
7/23/2021,27.6
8/10/2021,5.5
8/5/2020,5.9
2/3/2021,-12.0
12/11/2020,46.2
12/11/2020,133.5
4/26/2020,10.4
1/14/2021,79.1
8/26/2021,0.4
10/30/2021,10.0
3/5/2020,54.0
3/8/2020,44.8
3/9/2021,47.6
7/29/2020,86.0
7/14/2021,82.4
8/14/2021,39.7
9/23/2021,22.6
11/6/2020,-48.1
6/3/2020,147.3
4/5/2020,-12.2
6/1/2020,-36.9
11/6/2021,87.4
12/1/2021,9.3
8/7/2020,118.8
8/2/2020,61.1
10/15/2021,113.8
6/17/2021,-2.9
3/27/2020,-13.6
9/19/2020,-32.0
1/29/2020,77.7
12/28/2021,27.0
7/15/2021,19.4
1/28/2020,-34.6
2/16/2021,49.8
12/17/2020,29.2
12/22/2021,137.6
4/7/2020,-10.2
3/16/2020,69.8
10/28/2020,126.2
9/30/2021,44.8
12/25/2020,144.2
12/18/2020,59.0
7/6/2020,-17.6
3/12/2021,86.7
11/10/2020,52.1
3/31/2020,116.2
10/3/2020,109.3
10/25/2021,-24.9
4/6/2020,34.4
7/4/2020,3.6
10/27/2021,97.7
2/23/2020,37.2
11/2/2020,11.1
12/24/2021,144.0
11/20/2020,31.6
9/24/2021,-42.5
8/12/2021,-30.1
1/27/2020,38.3
1/25/2020,-28.2
9/16/2021,-47.8
6/5/2020,47.0
5/17/2020,-32.6
5/27/2020,128.8
10/5/2020,119.7
6/17/2020,126.1
5/4/2020,64.9
10/3/2021,2.5
2/20/2020,76.7
12/30/2021,8.3
11/24/2021,139.4
8/17/2021,44.5
6/11/2020,9.3
9/10/2020,-19.1
2/6/2021,130.5
3/28/2020,86.3
9/9/2021,80.0
12/24/2020,89.6
10/21/2020,-3.9
8/5/2020,70.9
11/26/2021,53.3
9/21/2021,68.6
3/25/2020,-28.2
3/13/2020,68.2
6/12/2021,9.2
10/27/2021,61.5
6/23/2021,-18.1
6/1/2021,60.3
6/14/2021,-15.7
5/11/2021,-49.5
7/15/2020,40.6
4/23/2021,108.0
7/8/2021,111.5
5/30/2020,86.0
8/4/2020,52.3
3/19/2021,72.5
6/17/2020,12.6
2/4/2020,-6.5
3/22/2020,77.5
10/4/2021,-30.8
12/15/2021,-45.0
9/8/2021,-44.9
11/9/2020,84.2
7/4/2020,107.8
8/19/2020,7.5
11/27/2021,46.1
1/11/2020,42.9
8/16/2020,146.0
3/25/2020,-3.9
11/11/2021,131.1
4/30/2021,118.9
3/16/2020,92.3
6/23/2020,148.1
9/9/2021,-32.1
2/18/2021,-30.9
1/7/2020,97.6
8/27/2020,-24.9
10/1/2020,38.1
9/2/2021,86.7
1/13/2021,35.0
9/30/2020,114.2
1/21/2020,127.9
9/21/2021,51.3
6/15/2021,46.1
7/17/2020,-49.1
8/13/2021,144.9
6/27/2020,31.0
2/5/2021,32.5
9/8/2020,145.4
5/25/2021,53.8
2/20/2020,57.4
8/7/2021,108.5
3/22/2021,100.2
4/7/2021,107.3
7/20/2021,56.7
7/5/2020,-2.5
5/21/2020,-8.5
6/19/2020,73.8
3/11/2021,-33.7
10/25/2021,-25.0
7/26/2021,92.9
5/31/2020,53.1
12/8/2021,142.7
5/27/2021,0.8
8/18/2021,-36.9
4/22/2020,4.6
12/14/2020,-26.0
6/21/2020,71.1
11/14/2021,149.7
7/8/2020,6.0
2/21/2021,-7.6
8/6/2020,123.9
10/15/2021,143.8
2/27/2021,-12.3
4/21/2020,130.8
1/2/2021,90.2
7/5/2020,57.5
11/14/2021,33.8
11/9/2021,-18.4
3/21/2021,60.2
12/15/2021,19.4
11/16/2021,56.9
3/16/2020,-15.0
5/24/2021,-39.3
12/18/2020,51.2
7/12/2020,-18.1
